,School,Games Played,Wins,Losses,W-L%,Simple Rating System,Strength of Schedule,Conf. Wins,Conf. Losses,Home Wins,Home Losses,Away Wins,Away Losses,Total Pts Scored,Total Pts Suffered,Minutes Played,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
0,Air Force,26,10,16,.385,-5.45,2.64,2,12,7,6,3,10,1773,1813,1040,612,1428,.429,196,512,.383,353,541,.652,287,879,361,158,81,370,546,1998
1,Akron,27,17,10,.630,5.57,-0.66,13,5,11,3,6,7,2034,1825,,731,1548,.472,108,348,.310,464,668,.695,313,945,391,256,91,386,474,1998
2,Alabama,31,15,16,.484,7.74,6.47,6,10,8,6,4,5,2168,2139,,799,1953,.409,186,574,.324,384,548,.701,495,1267,348,219,169,473,572,1998
3,Alabama State,28,11,17,.393,-16.77,-10.27,6,10,8,4,2,12,1914,2065,,671,1508,.445,129,359,.359,443,706,.627,367,1022,254,245,61,579,545,1998
4,Alcorn State,27,12,15,.444,-12.49,-8.28,8,8,9,2,3,11,1996,2040,,745,1641,.454,136,407,.334,370,600,.617,380,1038,376,221,90,475,539,1998
5,American,28,9,19,.321,-4.91,-0.50,5,11,7,6,1,12,1725,1834,1120,597,1488,.401,160,464,.345,371,538,.690,356,964,284,204,89,471,527,1998
6,Appalachian State,29,21,8,.724,-3.09,-5.82,13,2,12,3,7,4,2089,1917,,741,1646,.450,140,458,.306,467,731,.639,375,1068,412,224,112,432,512,1998
7,Arizona NCAA,35,30,5,.857,24.56,8.36,17,1,15,0,9,2,3177,2610,1405,1146,2350,.488,269,714,.377,616,860,.716,513,1372,677,352,113,502,578,1998
8,Arizona State,32,18,14,.563,7.92,7.98,8,10,14,4,4,7,2703,2688,,1019,2118,.481,172,478,.360,493,661,.746,379,1169,639,290,114,537,558,1998
9,Arkansas NCAA,33,24,9,.727,16.17,5.79,11,5,15,0,5,6,2716,2389,1325,984,2208,.446,237,671,.353,511,788,.648,524,1306,526,356,158,548,680,1998
10,Arkansas State,29,20,9,.690,1.22,-3.09,14,4,10,2,8,6,2170,2045,,767,1660,.462,210,529,.397,426,606,.703,312,966,453,199,107,436,571,1998
11,Arkansas-Pine Bluff,27,4,23,.148,,,3,13,2,6,1,16,,2105,,,,,,,,,,,421,,,,,,,1998
12,Army,27,8,19,.296,-20.38,-8.19,2,10,6,7,2,11,1730,2028,,593,1441,.412,167,484,.345,377,559,.674,275,834,324,198,56,482,525,1998
13,Auburn,30,16,14,.533,7.44,5.94,7,9,11,3,4,8,2068,2019,,743,1766,.421,197,608,.324,385,596,.646,442,1183,372,215,152,492,560,1998
14,Austin Peay,28,17,11,.607,-4.73,-7.23,11,7,11,2,5,7,2013,1889,1125,741,1682,.441,184,552,.333,347,532,.652,387,1038,426,269,125,435,470,1998
