,School,Games Played,Wins,Losses,W-L%,Simple Rating System,Strength of Schedule,Conf. Wins,Conf. Losses,Home Wins,Home Losses,Away Wins,Away Losses,Total Pts Scored,Total Pts Suffered,Minutes Played,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
15,Ball State,29,21,8,.724,7.46,0.68,14,4,14,1,7,6,2274,2005,,852,1814,.470,116,386,.301,454,686,.662,408,1012,426,349,67,433,606,1998
16,Baylor,28,14,14,.500,3.19,4.90,8,8,9,4,3,9,1970,2018,,676,1629,.415,217,650,.334,401,648,.619,362,1083,394,189,116,453,542,1998
17,Bethune-Cookman,27,1,26,.037,-27.28,-8.94,1,17,1,11,0,14,1644,2139,,590,1557,.379,102,421,.242,362,636,.569,369,933,240,252,80,631,647,1998
18,Boise State,30,17,13,.567,2.47,-0.53,9,7,13,0,3,11,2171,2072,1200,736,1592,.462,221,561,.394,478,665,.719,301,838,435,288,85,490,639,1998
19,Boston College,31,15,16,.484,5.14,6.47,6,12,10,6,4,7,2167,2198,1250,791,1756,.450,173,512,.338,412,640,.644,387,1107,406,238,109,496,522,1998
20,Boston University,30,19,11,.633,-0.03,-2.53,12,6,10,2,6,8,2101,2026,,718,1643,.437,177,493,.359,488,744,.656,371,1124,460,209,87,475,613,1998
21,Bowling Green State,26,10,16,.385,-3.20,0.96,7,11,7,5,2,11,1776,1856,1040,592,1394,.425,183,501,.365,409,573,.714,285,814,322,176,44,397,491,1998
22,Bradley,29,15,14,.517,4.23,2.12,9,9,9,4,4,9,1872,1772,,656,1487,.441,121,333,.363,439,644,.682,314,1061,433,196,116,438,507,1998
23,Brigham Young,30,9,21,.300,-0.11,6.12,4,10,4,11,4,8,1906,2093,,589,1571,.375,194,638,.304,534,749,.713,381,1060,355,194,72,486,638,1998
24,Brown,26,6,20,.231,-17.26,-5.95,3,11,4,8,1,10,1478,1772,,502,1313,.382,124,404,.307,350,544,.643,260,855,272,125,39,380,480,1998
25,Bucknell,28,13,15,.464,-6.82,-6.82,8,4,8,3,4,9,1947,1922,,676,1495,.452,188,520,.362,407,592,.688,321,970,349,175,91,471,537,1998
26,Buffalo,28,15,13,.536,-6.20,-6.39,9,7,8,4,5,8,2098,2033,,709,1574,.450,170,505,.337,510,701,.728,297,968,442,175,67,362,494,1998
27,Butler NCAA,33,22,11,.667,4.87,2.77,8,6,13,1,5,8,2228,2052,1335,730,1642,.445,152,478,.318,616,929,.663,370,1163,400,177,96,491,612,1998
28,Cal Poly,28,14,14,.500,-7.96,-3.48,7,9,11,4,3,10,2367,2398,,783,1759,.445,246,654,.376,555,791,.702,346,999,407,212,63,418,569,1998
29,Cal State Fullerton,28,12,16,.429,-3.54,-0.98,6,10,7,6,4,9,2056,2085,1130,728,1675,.435,182,503,.362,418,680,.615,380,1016,368,224,95,483,571,1998
30,Cal State Northridge,28,12,16,.429,-1.35,-3.27,7,9,7,4,3,11,2356,2242,,797,1761,.453,241,643,.375,521,749,.696,414,1085,467,227,74,511,691,1998
31,California,27,12,15,.444,8.33,7.95,8,10,9,5,3,10,1899,1876,,691,1578,.438,100,328,.305,417,618,.675,330,959,321,227,97,422,519,1998
32,Campbell,27,10,17,.370,-18.24,-7.74,4,12,6,8,4,9,1726,1921,,592,1461,.405,185,539,.343,357,549,.650,336,974,364,174,117,474,501,1998
33,Canisius,27,13,14,.481,-3.12,-0.49,9,9,7,5,5,7,1844,1915,,642,1483,.433,155,449,.345,405,600,.675,356,952,387,145,71,381,477,1998
34,Centenary (LA),30,10,20,.333,-12.14,-7.41,8,8,6,5,4,12,2072,2214,,730,1664,.439,168,454,.370,444,700,.634,,1071,380,226,75,,632,1998
35,Central Connecticut State,26,4,22,.154,-17.57,-6.29,3,13,2,8,1,12,1705,1996,,628,1537,.409,149,433,.344,300,447,.671,359,956,320,198,88,500,537,1998
36,Central Michigan,26,5,21,.192,-11.57,2.47,3,15,4,7,1,13,1788,2117,,612,1416,.432,161,466,.345,403,593,.680,260,879,320,152,79,539,585,1998
37,Charleston Southern,27,5,22,.185,-20.46,-8.34,2,10,5,6,0,14,1883,2127,,694,1509,.460,134,356,.376,361,564,.640,318,946,319,169,73,532,605,1998
38,Charlotte NCAA,31,20,11,.645,12.21,6.72,13,3,10,1,6,7,2283,2113,1250,816,1866,.437,180,525,.343,471,665,.708,426,1176,481,266,73,447,561,1998
39,Chattanooga,28,13,15,.464,-8.71,-4.84,7,7,10,4,3,8,1771,1809,,626,1550,.404,200,551,.363,319,461,.692,405,950,372,176,42,371,497,1998
40,Chicago State,27,2,25,.074,-25.23,-3.60,2,14,1,10,1,15,1837,2421,,686,1856,.370,154,515,.299,311,507,.613,451,1012,311,240,86,439,583,1998
41,Cincinnati NCAA,33,27,6,.818,17.85,4.97,14,2,19,1,6,4,2510,2085,,861,1886,.457,178,513,.347,610,898,.679,521,1324,414,258,146,526,633,1998
42,Clemson NCAA,32,18,14,.563,17.17,10.33,7,9,11,3,4,6,2309,2090,,842,1783,.472,164,485,.338,461,751,.614,396,1082,484,256,90,406,683,1998
43,Cleveland State,27,12,15,.444,-2.62,3.27,6,8,9,4,3,11,1743,1904,,595,1490,.399,130,391,.332,423,645,.656,382,998,277,204,87,502,602,1998
44,Coastal Carolina,27,8,19,.296,-19.47,-9.30,4,8,7,5,1,13,1675,1868,,577,1480,.390,154,457,.337,367,531,.691,371,883,306,237,39,469,546,1998
45,Colgate,28,10,18,.357,-9.74,-6.77,5,7,5,5,3,12,2075,2158,,726,1754,.414,208,638,.326,415,580,.716,365,1022,390,267,73,425,574,1998
46,College of Charleston NCAA,30,24,6,.800,4.44,-9.03,14,2,16,2,8,3,2102,1662,,784,1701,.461,105,305,.344,429,618,.694,389,1079,434,329,125,401,487,1998
47,Colorado,27,13,14,.481,2.15,4.45,7,9,11,5,2,7,1928,1970,1095,661,1638,.404,153,441,.347,453,658,.688,406,1058,417,177,109,386,492,1998
48,Colorado State,29,20,9,.690,6.28,1.68,8,6,12,3,8,5,1999,1802,,703,1545,.455,149,436,.342,444,661,.672,350,1053,450,194,129,368,504,1998
49,Columbia,26,11,15,.423,-13.46,-8.14,6,8,5,6,5,7,1487,1616,1040,516,1221,.423,148,463,.320,307,489,.628,221,826,306,184,54,406,521,1998
50,Connecticut NCAA,37,32,5,.865,20.67,7.89,15,3,18,0,7,3,2836,2363,1480,1003,2188,.458,220,616,.357,610,832,.733,520,1447,529,314,148,525,671,1998
51,Coppin State,29,21,8,.724,-2.39,-10.28,17,1,8,1,10,4,2251,2022,1175,757,1767,.428,202,572,.353,535,734,.729,379,1070,293,299,61,480,635,1998
52,Cornell,26,9,17,.346,-11.65,-8.21,6,8,7,4,2,9,1629,1699,1040,605,1439,.420,122,390,.313,297,468,.635,348,995,333,150,110,402,500,1998
53,Creighton,28,18,10,.643,6.28,1.21,12,6,12,2,6,7,2100,1958,1125,723,1589,.455,203,559,.363,451,656,.688,327,1032,430,261,127,460,573,1998
54,Dartmouth,26,7,19,.269,-15.62,-7.12,4,10,4,7,3,10,1474,1695,1040,532,1310,.406,140,437,.320,270,434,.622,278,880,284,124,73,404,471,1998
55,Davidson NCAA,30,20,10,.667,-0.71,-3.74,13,2,10,3,6,5,2138,1987,,747,1726,.433,209,595,.351,435,646,.673,416,1117,472,223,61,501,584,1998
56,Dayton,33,21,12,.636,8.80,4.04,11,5,14,4,4,6,2511,2354,1335,862,1914,.450,182,486,.374,605,843,.718,485,1300,444,183,69,475,593,1998
57,Delaware NCAA,30,20,10,.667,-1.92,-3.42,12,6,13,2,5,7,2191,2111,,758,1705,.445,177,488,.363,498,695,.717,320,1072,420,240,91,504,563,1998
58,Delaware State,27,9,18,.333,-22.43,-10.03,7,11,7,5,1,12,1889,2165,,670,1594,.420,114,340,.335,435,674,.645,392,995,297,206,95,581,616,1998
59,DePaul,30,7,23,.233,-2.43,7.50,3,13,3,10,4,10,1777,2063,,630,1748,.360,175,611,.286,342,511,.669,426,1024,288,249,66,395,539,1998
60,Detroit Mercy NCAA,31,25,6,.806,9.86,0.49,12,2,12,1,10,4,2314,1957,,817,1771,.461,208,554,.375,472,639,.739,389,1107,437,229,100,409,597,1998
61,Drake,27,3,24,.111,-14.06,1.60,0,18,3,9,0,12,1646,2033,1085,573,1447,.396,182,552,.330,318,492,.646,273,820,358,237,39,475,512,1998
62,Drexel,28,13,15,.464,-3.77,-2.92,10,8,7,4,5,9,1870,1894,,665,1596,.417,149,429,.347,391,581,.673,336,1000,393,122,39,346,588,1998
63,Duke NCAA,36,32,4,.889,29.55,9.32,15,1,15,0,10,2,3082,2308,,1081,2278,.475,273,739,.369,647,960,.674,534,1377,514,339,183,448,670,1998
64,Duquesne,30,11,19,.367,-0.57,4.66,5,11,7,6,3,10,2173,2330,,774,1761,.440,163,468,.348,462,754,.613,446,1107,407,261,91,589,637,1998
65,East Carolina,27,10,17,.370,-3.35,-1.31,5,11,7,6,3,11,1821,1835,,639,1492,.428,168,467,.360,375,550,.682,344,974,321,132,71,374,547,1998
66,East Tennessee State,27,11,16,.407,-11.59,-8.39,6,9,9,3,2,12,1779,1807,,626,1420,.441,120,352,.341,407,634,.642,313,931,340,175,45,445,555,1998
67,Eastern Illinois,27,16,11,.593,-4.89,-5.89,13,5,9,4,7,7,2009,1933,,718,1649,.435,165,497,.332,408,609,.670,360,1038,430,215,62,413,528,1998
68,Eastern Kentucky,27,10,17,.370,-11.11,-4.95,8,10,6,6,4,11,1897,2053,1095,654,1617,.404,171,496,.345,418,633,.660,428,1096,328,240,58,530,643,1998
69,Eastern Michigan NCAA,30,20,10,.667,6.70,2.67,13,5,11,1,6,8,2394,2266,,909,1933,.470,210,572,.367,366,552,.663,415,1121,473,234,110,429,600,1998
70,Eastern Washington,27,16,11,.593,-6.20,-3.16,10,6,11,1,3,9,2053,2130,1100,754,1696,.445,155,418,.371,390,611,.638,378,1032,403,224,70,425,503,1998
71,Evansville,30,15,15,.500,1.71,-0.36,9,9,10,5,4,8,2099,2005,,726,1526,.476,193,498,.388,454,600,.757,228,954,453,162,63,427,544,1998
72,Fairfield,27,12,15,.444,-2.86,-1.83,7,11,8,4,2,10,1896,1924,,659,1491,.442,118,388,.304,460,714,.644,392,985,356,217,126,448,691,1998
73,FDU NCAA,30,23,7,.767,2.90,-5.38,13,3,10,2,10,4,2511,2253,,851,1883,.452,233,639,.365,576,855,.674,530,1370,438,244,185,593,588,1998
74,Florida,29,14,15,.483,8.97,6.42,6,10,11,4,2,8,2208,2134,1165,764,1725,.443,285,712,.400,395,598,.661,353,1038,429,270,131,536,625,1998
75,Florida A&M,28,11,17,.393,-16.14,-11.82,8,10,7,5,3,11,1998,2117,,716,1724,.415,129,361,.357,437,753,.580,461,1226,301,212,182,582,632,1998
76,Florida Atlantic,27,5,22,.185,-19.25,-3.21,5,11,3,9,2,13,1671,2108,,579,1457,.397,165,523,.315,348,508,.685,305,921,298,163,45,505,563,1998
77,Florida International,29,21,8,.724,2.54,-5.67,13,3,13,0,6,8,2533,2295,,898,1938,.463,237,687,.345,500,757,.661,414,1103,472,325,68,423,615,1998
78,Florida State NCAA,32,18,14,.563,12.93,10.78,6,10,8,5,7,7,2287,2218,1285,836,1830,.457,129,438,.295,486,731,.665,434,1240,461,237,165,543,631,1998
79,Fordham,27,6,21,.222,-3.39,3.73,2,14,4,7,1,13,1762,1954,1095,610,1533,.398,158,492,.321,384,543,.707,334,912,344,161,78,409,557,1998
80,Fresno State,34,21,13,.618,9.32,5.63,10,4,13,4,7,6,2835,2629,,1050,2345,.448,284,840,.338,451,733,.615,537,1403,685,355,185,526,668,1998
81,Furman,29,9,20,.310,-15.16,-8.12,5,9,6,7,3,10,1790,1954,,651,1521,.428,93,334,.278,395,600,.658,351,1075,347,180,60,514,556,1998
82,George Mason,27,9,18,.333,-6.24,-0.58,6,10,4,8,4,10,1697,1850,,618,1479,.418,142,445,.319,319,523,.610,314,866,309,217,82,419,512,1998
83,George Washington NCAA,33,24,9,.727,9.91,4.76,11,5,11,2,8,4,2414,2244,1325,848,1903,.446,145,449,.323,573,883,.649,479,1320,494,234,88,513,715,1998
84,Georgetown,31,16,15,.516,8.75,5.99,6,12,12,4,3,9,2223,2052,1250,822,1889,.435,94,327,.287,485,768,.632,547,1267,390,352,98,505,646,1998
85,Georgia,35,20,15,.571,13.11,9.03,7,9,11,4,6,6,2654,2511,1405,914,2163,.423,284,803,.354,542,777,.698,525,1360,475,253,111,506,682,1998
86,Georgia Southern,28,10,18,.357,-14.22,-6.93,4,10,6,6,3,11,1824,1912,,662,1540,.430,186,585,.318,314,485,.647,366,905,361,262,60,547,578,1998
87,Georgia State,28,16,12,.571,-5.40,-8.90,11,5,11,3,4,8,2096,1960,,772,1658,.466,170,461,.369,382,520,.735,343,982,383,197,110,408,481,1998
88,Georgia Tech,33,19,14,.576,12.82,8.70,6,10,11,6,4,7,2518,2382,1340,882,2005,.440,231,715,.323,523,766,.683,484,1318,502,253,209,589,525,1998
89,Gonzaga,34,24,10,.706,10.50,1.72,10,4,11,1,7,8,2729,2357,,965,2038,.474,274,678,.404,525,748,.702,425,1273,525,231,121,463,640,1998
90,Grambling,28,16,12,.571,-13.35,-9.79,10,6,10,1,4,8,2030,2058,,741,1667,.445,128,420,.305,420,610,.689,419,1046,385,235,86,514,546,1998
91,Green Bay,29,17,12,.586,3.93,-0.57,7,7,14,5,3,7,1868,1737,1165,639,1350,.473,120,326,.368,470,625,.752,207,820,380,183,102,384,503,1998
92,Hampton,26,14,12,.538,-14.61,-11.46,11,7,8,3,6,9,1770,1852,,588,1405,.419,155,464,.334,439,637,.689,359,1042,323,148,116,505,511,1998
93,Hartford,27,15,12,.556,-4.65,-4.73,11,7,9,3,6,7,2138,2116,,725,1578,.459,147,435,.338,541,730,.741,270,952,385,265,73,436,597,1998
94,Harvard,26,13,13,.500,-8.08,-8.28,6,8,7,6,6,7,1812,1791,,659,1459,.452,188,448,.420,306,421,.727,276,856,342,180,59,351,434,1998
95,Hawaii,30,21,9,.700,11.22,4.38,8,6,17,5,4,4,2329,2124,,842,1814,.464,144,433,.333,501,700,.716,405,1140,470,237,108,470,549,1998
96,Hofstra,31,19,12,.613,-1.79,-4.48,11,7,10,3,6,8,2286,2180,,814,1840,.442,153,494,.310,505,752,.672,397,1166,466,241,120,484,639,1998
97,Holy Cross,27,7,20,.259,-16.58,-8.25,3,9,2,8,4,9,1851,2073,1110,653,1573,.415,158,497,.318,387,541,.715,318,951,342,161,66,418,565,1998
98,Houston,29,9,20,.310,-7.26,3.06,2,14,6,7,3,10,1843,2114,,678,1595,.425,115,377,.305,372,537,.693,408,1162,350,164,93,633,577,1998
99,Howard,28,8,20,.286,-20.21,-12.21,5,13,4,8,2,10,1937,2161,,672,1650,.407,142,425,.334,451,695,.649,424,1067,342,177,97,523,611,1998
100,Idaho,27,15,12,.556,2.09,0.73,9,7,11,2,3,9,1910,1852,,685,1496,.458,125,334,.374,415,590,.703,347,978,331,188,54,439,568,1998
101,Idaho State,26,6,20,.231,-17.52,-4.04,2,14,3,8,1,10,1791,2129,,646,1522,.424,140,444,.315,359,611,.588,348,908,331,191,65,445,477,1998
102,Illinois NCAA,33,23,10,.697,15.21,8.97,13,3,13,1,6,4,2301,2095,,827,1869,.442,215,593,.363,432,634,.681,368,1109,469,244,90,443,617,1998
103,Illinois State NCAA,31,25,6,.806,9.64,3.41,16,2,11,1,9,4,2363,2141,,865,1804,.479,220,587,.375,413,613,.674,342,1099,574,259,77,473,625,1998
104,Illinois-Chicago NCAA,28,22,6,.786,9.21,0.67,12,2,13,1,8,3,2090,1851,,715,1641,.436,192,460,.417,468,639,.732,398,1034,397,169,76,354,530,1998
105,Indiana NCAA,32,20,12,.625,14.18,10.71,9,7,10,2,4,7,2457,2346,1285,879,1792,.491,186,489,.380,513,702,.731,327,1079,568,235,105,498,585,1998
106,Indiana State,27,16,11,.593,3.46,0.64,10,8,11,2,5,8,1875,1799,1090,657,1449,.453,150,421,.356,411,596,.690,284,908,372,227,92,410,505,1998
107,Iona NCAA,33,27,6,.818,8.55,-2.08,15,3,12,0,13,3,2652,2295,,934,2008,.465,210,599,.351,574,835,.687,475,1247,511,325,205,504,652,1998
108,Iowa,31,20,11,.645,17.25,6.05,9,7,11,5,7,5,2486,2091,,878,1828,.480,218,543,.401,512,721,.710,418,1186,566,315,114,514,498,1998
109,Iowa State,30,12,18,.400,0.76,6.01,5,11,10,6,1,9,1910,2031,1210,681,1547,.440,105,356,.295,443,690,.642,358,1088,366,163,98,512,498,1998
110,Jackson State,27,14,13,.519,-8.58,-6.84,11,5,10,1,4,11,1885,1834,,664,1597,.416,128,441,.290,429,657,.653,397,1066,304,230,124,456,581,1998
111,Jacksonville,27,8,19,.296,-7.84,-2.76,6,12,4,8,4,10,1776,1913,,608,1443,.421,144,436,.330,416,669,.622,342,947,269,231,84,514,547,1998
112,Jacksonville State,26,12,14,.462,-16.85,-11.26,6,10,9,4,3,10,1958,2065,,644,1540,.418,225,637,.353,445,633,.703,331,981,316,164,61,445,534,1998
113,James Madison,27,11,16,.407,-5.01,-1.30,6,10,6,7,5,7,1729,1829,1080,604,1451,.416,144,450,.320,377,561,.672,358,951,268,148,91,414,467,1998
114,Kansas NCAA,39,35,4,.897,22.83,6.51,15,1,16,0,8,2,3300,2628,1565,1249,2536,.493,229,610,.375,573,842,.681,604,1682,746,315,220,623,651,1998
115,Kansas City,27,9,18,.333,-11.16,-5.32,7,9,7,6,2,11,1842,1964,1085,696,1593,.437,129,394,.327,321,509,.631,338,964,369,196,50,421,507,1998
116,Kansas State,29,17,12,.586,9.39,3.42,7,9,12,2,3,9,2161,1988,,796,1735,.459,170,486,.350,399,573,.696,374,1125,491,215,121,444,555,1998
117,Kent State,30,13,17,.433,-3.76,0.68,9,9,10,3,3,11,2082,2170,,759,1722,.441,190,544,.349,374,623,.600,400,1042,469,239,73,542,631,1998
118,Kentucky NCAA,39,35,4,.897,22.95,9.85,14,2,9,3,11,0,3123,2612,1570,1161,2409,.482,250,681,.367,551,816,.675,587,1640,691,341,240,583,722,1998
119,La Salle,27,9,18,.333,-3.01,3.77,5,11,6,4,2,11,1928,2111,,647,1605,.403,223,661,.337,411,604,.680,404,949,380,185,76,384,520,1998
120,Lafayette,28,19,9,.679,-4.42,-8.19,10,2,9,1,7,8,2096,1904,1120,720,1619,.445,207,612,.338,449,643,.698,367,1083,408,255,91,463,560,1998
121,Lamar,29,15,14,.517,-3.47,-4.16,7,11,8,5,5,9,1936,1916,,671,1591,.422,117,362,.323,477,732,.652,405,1087,282,208,52,495,634,1998
122,Lehigh,27,10,17,.370,-15.71,-7.47,4,8,6,5,4,11,1915,2089,,661,1618,.409,164,457,.359,429,662,.648,345,989,333,225,66,419,528,1998
123,Liberty,28,11,17,.393,-14.72,-8.26,5,7,6,8,5,9,1800,1930,,619,1425,.434,180,493,.365,382,546,.700,307,882,363,211,60,470,564,1998
124,Little Rock,28,15,13,.536,-5.39,-2.80,10,8,8,6,5,5,1887,1931,1135,687,1533,.448,134,407,.329,379,588,.645,308,958,405,150,85,390,497,1998
125,Long Beach State,29,10,19,.345,-8.51,-2.72,5,11,7,7,1,10,1850,2018,,679,1611,.421,125,411,.304,367,588,.624,358,1043,349,185,140,478,556,1998
126,Long Island University,32,21,11,.656,2.62,-2.04,14,2,11,0,5,9,3102,2776,,1163,2636,.441,310,932,.333,466,834,.559,682,1406,588,478,90,491,652,1998
127,Louisiana,31,18,13,.581,-0.28,-1.44,12,6,12,5,6,6,2336,2280,,801,1868,.429,218,646,.337,516,776,.665,436,1076,431,284,56,465,648,1998
128,Louisiana State,27,9,18,.333,1.08,6.20,2,14,8,8,1,9,1680,1765,1080,579,1364,.424,140,425,.329,382,592,.645,328,972,314,166,47,487,469,1998
129,Louisiana Tech,27,12,15,.444,-1.41,-2.81,9,9,9,5,2,8,1849,1811,,660,1432,.461,134,404,.332,395,599,.659,337,953,328,201,35,446,561,1998
130,Louisiana-Monroe,29,13,16,.448,-8.09,-4.34,8,8,8,4,5,9,2263,2433,1180,818,1812,.451,152,481,.316,475,730,.651,456,1068,415,287,108,539,543,1998
131,Louisville,32,12,20,.375,7.90,9.03,5,11,6,8,3,9,2267,2303,1285,844,1907,.443,221,652,.339,358,550,.651,432,1138,511,240,116,567,652,1998
132,Loyola (IL),30,15,15,.500,-4.99,-1.34,6,8,11,2,3,11,1997,2046,,720,1677,.429,127,432,.294,430,640,.672,385,1049,413,223,90,454,533,1998
133,Loyola (MD),28,12,16,.429,-3.20,-0.56,9,9,7,5,4,10,2143,2217,,724,1622,.446,144,448,.321,551,767,.718,353,1004,382,251,59,536,621,1998
134,Loyola Marymount,27,7,20,.259,-6.97,1.45,3,11,5,8,2,11,1994,2209,1095,685,1673,.409,231,662,.349,393,587,.670,355,1031,381,202,100,469,578,1998
135,Maine,27,7,20,.259,-13.65,-4.09,4,14,6,5,1,11,1920,2068,,691,1653,.418,206,602,.342,332,509,.652,346,994,395,231,62,488,523,1998
136,Manhattan,29,12,17,.414,-4.72,-0.89,7,11,8,5,2,12,1903,2014,,668,1530,.437,174,526,.331,393,579,.679,322,968,412,186,78,454,588,1998
137,Marist,28,11,17,.393,-7.20,-3.52,7,11,8,5,2,11,1939,2042,,677,1546,.438,133,390,.341,452,643,.703,330,895,349,204,100,380,583,1998
138,Marquette,31,20,11,.645,10.55,5.26,8,8,13,5,6,5,2024,1860,1250,716,1746,.410,199,647,.308,393,579,.679,436,1214,399,211,123,482,555,1998
139,Marshall,27,11,16,.407,-2.98,0.62,7,11,9,4,2,11,1882,1875,1080,696,1541,.452,177,498,.355,313,466,.672,333,950,376,186,94,435,461,1998
140,Maryland NCAA,32,21,11,.656,18.79,12.10,10,6,12,2,4,6,2520,2306,1300,908,1969,.461,166,476,.349,538,794,.678,422,1271,602,275,158,525,637,1998
141,Maryland-Baltimore County,28,14,14,.500,-11.01,-9.37,6,6,7,5,6,8,1978,1991,,686,1578,.435,186,525,.354,420,589,.713,329,1032,414,204,83,465,540,1998
142,Maryland-Eastern Shore,27,9,18,.333,-16.17,-11.39,7,11,7,4,2,12,1838,1967,,651,1579,.412,102,334,.305,434,666,.652,375,976,245,265,44,476,527,1998
143,Massachusetts NCAA,32,21,11,.656,11.99,7.27,12,4,8,2,7,5,2231,2080,1315,817,1826,.447,111,327,.339,486,694,.700,475,1232,444,198,176,476,671,1998
144,McNeese State,26,7,19,.269,-16.44,-7.72,4,12,6,8,1,11,1817,2026,,641,1488,.431,183,540,.339,352,527,.668,319,827,372,220,79,448,520,1998
145,Memphis,29,17,12,.586,8.04,5.56,12,4,11,4,6,7,2151,2079,1175,779,1682,.463,143,441,.324,450,709,.635,351,1013,402,291,92,513,556,1998
146,Mercer,26,5,21,.192,-19.23,-8.73,2,14,5,9,0,12,1767,1989,,637,1559,.409,170,529,.321,323,510,.633,382,977,314,181,52,429,478,1998
147,Miami (FL) NCAA,28,18,10,.643,10.87,6.37,11,7,11,3,7,5,1962,1836,1120,735,1669,.440,114,397,.287,378,572,.661,388,1120,395,259,120,496,563,1998
148,Miami (OH),29,17,12,.586,3.62,1.94,9,9,10,3,5,8,2006,1932,,705,1577,.447,156,414,.377,440,610,.721,334,1062,346,165,56,442,521,1998
149,Michigan NCAA,34,25,9,.735,18.79,9.64,11,5,12,3,7,5,2630,2284,1365,932,1907,.489,260,621,.419,506,729,.694,422,1314,537,243,138,537,585,1998
150,Michigan State NCAA,30,22,8,.733,18.65,9.25,13,3,12,3,8,3,2202,1920,1210,799,1779,.449,176,493,.357,428,639,.670,479,1197,446,229,117,461,575,1998
151,Middle Tennessee,28,19,9,.679,-1.80,-6.59,12,6,11,2,7,7,1984,1781,,690,1540,.448,195,530,.368,409,613,.667,346,969,413,230,91,373,460,1998
152,Milwaukee,27,3,24,.111,-9.89,1.97,2,12,2,10,1,13,1651,1971,,571,1476,.387,185,545,.339,324,496,.653,292,863,325,195,59,456,549,1998
153,Minnesota,35,20,15,.571,11.95,8.32,6,10,15,6,2,8,2530,2403,,901,2029,.444,188,555,.339,540,745,.725,438,1228,498,304,144,440,716,1998
154,Mississippi NCAA,29,22,7,.759,17.22,7.07,12,4,14,0,6,5,2334,1974,1170,794,1754,.453,204,544,.375,542,831,.652,442,1203,397,231,124,445,653,1998
155,Mississippi State,30,15,15,.500,7.75,5.12,4,12,7,6,5,6,2131,2053,,806,1774,.454,136,426,.319,383,605,.633,351,1112,437,204,90,421,528,1998
156,Mississippi Valley State,27,6,21,.222,-16.95,-7.57,6,10,5,4,1,12,1996,2221,,715,1939,.369,227,780,.291,339,574,.591,567,1153,266,214,109,449,566,1998
157,Missouri,32,17,15,.531,6.81,7.41,8,8,14,2,0,10,2280,2299,,791,1871,.423,214,580,.369,484,691,.700,393,1190,455,257,91,528,600,1998
