,School,Games Played,Wins,Losses,W-L%,Simple Rating System,Strength of Schedule,Conf. Wins,Conf. Losses,Home Wins,Home Losses,Away Wins,Away Losses,Total Pts Scored,Total Pts Suffered,Minutes Played,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
0,Air Force,26,7,19,.269,-4.91,1.18,2,14,6,9,0,10,1766,1875,1045,637,1519,.419,134,436,.307,358,575,.623,384,1005,350,155,40,406,534,1997
1,Akron,26,8,18,.308,-1.18,0.98,6,12,6,6,2,11,1833,1870,1060,677,1585,.427,121,402,.301,358,514,.696,287,869,407,220,78,355,478,1997
2,Alabama,31,17,14,.548,9.75,6.12,6,10,10,5,2,7,2166,2006,,749,1838,.408,247,671,.368,421,576,.731,445,1225,363,199,101,57,536,1997
3,Alabama State,29,8,21,.276,-21.80,-8.34,5,9,5,5,3,14,1899,2318,,667,1688,.395,144,456,.316,421,680,.619,383,1050,284,225,20,536,513,1997
4,Alcorn State,28,11,17,.393,-15.53,-10.16,8,6,7,5,3,11,2021,2140,1130,712,1630,.437,117,362,.323,480,746,.643,385,1134,419,192,107,528,589,1997
5,American,27,11,16,.407,-5.21,-0.44,7,9,8,3,2,12,1831,1920,,639,1557,.410,156,477,.327,397,589,.674,359,952,268,201,65,417,481,1997
6,Appalachian State,28,14,14,.500,-5.92,-4.92,8,6,9,2,3,10,1990,1954,,718,1485,.484,178,453,.393,376,563,.668,297,901,397,185,105,432,475,1997
7,Arizona NCAA,34,25,9,.735,21.66,11.04,11,7,13,1,3,6,2850,2491,,1015,2241,.453,222,600,.370,598,913,.655,562,1377,567,358,100,521,654,1997
8,Arizona State,30,10,20,.333,2.24,7.21,2,16,9,9,0,9,2181,2233,1210,830,1953,.425,188,562,.335,333,501,.665,391,1041,533,299,172,431,549,1997
9,Arkansas,32,18,14,.563,14.74,7.05,8,8,15,3,3,8,2527,2281,,919,2078,.442,274,736,.372,415,611,.679,427,1155,509,318,124,494,638,1997
10,Arkansas State,27,15,12,.556,-5.48,-4.48,8,10,11,4,4,7,1988,1970,1090,723,1620,.446,126,401,.314,416,627,.663,344,962,396,193,111,410,509,1997
11,Army,26,10,16,.385,-16.80,-8.68,4,8,7,6,2,8,1821,1943,,612,1490,.411,188,537,.350,409,562,.728,335,936,333,168,49,411,553,1997
12,Auburn,31,16,15,.516,5.42,5.42,6,10,11,4,3,8,2056,2017,,730,1759,.415,212,703,.302,384,596,.644,466,1150,387,245,103,506,569,1997
13,Austin Peay,31,17,14,.548,-5.01,-7.32,12,6,12,2,3,8,2398,2278,1265,841,1814,.464,228,620,.368,488,728,.670,364,1112,425,225,121,428,517,1997
14,Ball State,29,16,13,.552,1.80,1.48,9,9,14,1,1,12,2157,2144,1170,779,1741,.447,136,403,.337,463,708,.654,390,998,425,263,60,439,512,1997
15,Baylor,30,18,12,.600,4.40,2.99,6,10,14,3,2,7,2149,2075,,776,1802,.431,227,680,.334,370,651,.568,390,1107,437,212,134,474,609,1997
