,School,Games Played,Wins,Losses,W-L%,Simple Rating System,Strength of Schedule,Conf. Wins,Conf. Losses,Home Wins,Home Losses,Away Wins,Away Losses,Total Pts Scored,Total Pts Suffered,Minutes Played,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
205,Purdue NCAA,30,18,12,.600,12.24,10.91,12,6,11,3,6,6,2162,2122,1210,727,1717,.423,172,508,.339,536,741,.723,422,1071,442,250,116,494,503,1997
206,Radford,28,15,13,.536,-8.87,-6.16,8,6,8,4,6,9,2047,2072,1120,733,1587,.462,214,528,.405,367,516,.711,318,910,449,200,104,425,559,1997
207,Rhode Island NCAA,30,20,10,.667,16.48,6.38,12,4,10,3,7,6,2420,2117,1215,887,1925,.461,205,565,.363,441,641,.688,437,1172,483,263,145,397,589,1997
208,Rice,27,12,15,.444,2.04,3.84,6,10,9,3,2,11,1799,1793,1085,665,1531,.434,120,352,.341,349,516,.676,355,994,412,199,94,420,538,1997
209,Richmond,28,13,15,.464,-0.39,-1.50,7,9,8,4,3,10,1926,1895,,682,1616,.422,168,515,.326,394,586,.672,388,1070,344,156,100,404,523,1997
210,Rider,28,14,14,.500,-6.27,-6.97,10,8,8,4,5,9,1989,1983,,680,1480,.459,145,436,.333,484,694,.697,351,1006,428,183,90,493,549,1997
211,Robert Morris,27,4,23,.148,-15.36,-4.76,3,15,3,8,1,14,1785,2071,1080,635,1492,.426,166,421,.394,349,526,.663,297,923,384,161,47,446,559,1997
212,Rutgers,27,11,16,.407,2.67,7.12,5,13,9,6,2,9,1739,1859,1080,592,1541,.384,174,515,.338,381,556,.685,371,963,294,205,92,412,549,1997
213,Sacramento State,26,3,23,.115,-20.66,-0.92,2,14,2,9,1,13,1553,2029,,563,1549,.363,160,534,.300,267,433,.617,367,939,301,171,75,448,530,1997
214,Saint Francis (PA),27,12,15,.444,-8.12,-7.05,9,9,7,4,5,11,1885,1914,,634,1526,.415,155,452,.343,462,641,.721,390,1074,367,129,98,492,493,1997
215,Saint Joseph's NCAA,33,26,7,.788,12.94,7.69,13,3,15,2,7,4,2351,2178,,782,1897,.412,276,743,.371,511,728,.702,427,1190,461,239,79,408,615,1997
216,Saint Louis,29,11,18,.379,-0.53,3.26,4,10,9,10,2,8,1677,1787,1160,573,1566,.366,147,504,.292,384,596,.644,364,964,336,209,37,358,568,1997
217,Saint Mary's (CA) NCAA,31,23,8,.742,3.24,-0.86,10,4,11,2,7,5,2188,2017,1260,739,1575,.469,209,573,.365,501,738,.679,333,1067,523,200,128,496,575,1997
218,Saint Peter's,28,13,15,.464,-7.37,-4.58,9,5,9,2,3,12,1662,1740,,599,1433,.418,69,255,.271,395,595,.664,320,932,338,256,85,498,595,1997
219,Sam Houston,26,8,18,.308,-15.50,-5.50,7,9,6,3,2,14,1679,1939,,560,1266,.442,169,506,.334,390,566,.689,244,804,369,145,45,462,559,1997
220,Samford,28,19,9,.679,-11.30,-12.88,11,5,9,2,8,4,1930,1861,,623,1430,.436,219,601,.364,465,647,.719,281,1044,373,99,66,411,495,1997
221,San Diego,28,17,11,.607,2.86,-0.83,8,6,11,3,5,7,2013,1871,,685,1452,.472,165,437,.378,478,673,.710,308,947,413,198,75,425,549,1997
222,San Diego State,27,12,15,.444,-2.09,1.65,4,12,9,5,3,10,2054,2134,1105,670,1611,.416,186,554,.336,528,748,.706,348,914,326,221,71,386,535,1997
223,San Francisco,29,16,13,.552,-0.17,-0.56,9,5,11,3,3,8,1987,1974,,700,1507,.464,155,417,.372,432,622,.695,369,988,376,159,57,445,515,1997
224,San Jose State,27,13,14,.481,-0.31,4.19,5,11,8,6,5,7,1825,1929,1095,663,1576,.421,108,369,.293,391,576,.679,385,956,351,199,64,416,536,1997
225,Santa Clara,27,16,11,.593,3.30,0.93,10,4,8,1,4,9,1915,1851,,666,1569,.424,191,575,.332,392,585,.670,371,949,395,207,20,396,563,1997
226,Seton Hall,28,10,18,.357,3.85,9.22,5,13,8,9,2,8,1908,2049,1125,649,1713,.379,211,623,.339,399,618,.646,390,1051,352,253,135,467,580,1997
227,Siena,27,9,18,.333,-8.57,-3.90,4,10,5,7,3,11,1768,1894,1080,602,1553,.388,195,572,.341,369,533,.692,359,1023,355,174,75,445,538,1997
228,South Alabama NCAA,30,23,7,.767,4.03,-4.51,14,4,13,1,8,5,1987,1699,1205,681,1526,.446,128,347,.369,497,711,.699,407,1131,376,186,115,406,517,1997
229,South Carolina NCAA,32,24,8,.750,15.09,7.00,15,1,11,3,11,2,2371,2133,,793,1758,.451,229,618,.371,556,800,.695,403,1178,425,225,100,452,529,1997
230,South Carolina State,28,14,14,.500,-11.60,-9.40,12,6,9,2,4,11,1898,1965,,643,1571,.409,154,448,.344,458,682,.672,414,1064,256,205,59,436,557,1997
231,South Florida,27,8,19,.296,-3.95,2.24,2,12,7,8,1,10,1613,1781,,556,1390,.400,124,454,.273,377,564,.668,263,898,317,207,80,420,553,1997
232,Southeast Missouri State,30,12,18,.400,-10.06,-5.14,9,9,9,5,3,10,2153,2264,,805,1846,.436,124,421,.295,419,676,.620,441,1216,395,220,126,553,635,1997
233,Southeastern Louisiana,28,10,18,.357,-19.29,-12.41,7,9,5,7,4,11,2054,2211,,709,1765,.402,199,660,.302,437,636,.687,395,1121,321,160,82,476,587,1997
234,Southern,27,10,17,.370,-18.55,-11.38,5,9,7,7,2,9,2173,2270,1090,804,1870,.430,163,524,.311,402,636,.632,413,1040,408,285,61,435,583,1997
235,Southern California NCAA,28,17,11,.607,14.51,10.16,12,6,11,2,6,8,2229,2137,1120,755,1711,.441,180,520,.346,539,771,.699,423,1045,416,259,83,522,617,1997
236,Southern Illinois,30,13,17,.433,2.83,3.43,6,12,5,6,6,7,2183,2201,1205,800,1809,.442,247,698,.354,336,517,.650,390,1123,476,219,69,479,572,1997
237,Southern Methodist,28,16,12,.571,2.41,1.75,7,9,8,4,7,7,1911,1837,1120,677,1609,.421,163,519,.314,394,574,.686,376,1005,356,208,59,325,449,1997
238,Southern Mississippi,27,12,15,.444,0.26,0.78,6,8,9,3,2,11,1650,1664,,589,1371,.430,81,258,.314,391,571,.685,311,985,321,155,80,426,438,1997
239,Southern Utah,26,9,17,.346,-8.00,1.77,,,8,3,1,12,1632,1746,,614,1417,.433,128,406,.315,276,440,.627,284,867,345,210,77,424,529,1997
240,St. Bonaventure,28,14,14,.500,5.28,5.03,5,11,8,5,3,9,1957,1950,1135,697,1748,.399,168,555,.303,395,604,.654,421,1051,381,267,130,393,590,1997
241,St. Francis (NY),28,13,15,.464,-13.33,-9.15,7,11,7,5,5,10,1821,1938,1130,639,1566,.408,162,520,.312,381,539,.707,327,968,298,197,160,424,541,1997
242,St. John's (NY),27,13,14,.481,8.36,8.25,8,10,7,8,6,6,1815,1812,1095,590,1420,.415,96,351,.274,539,801,.673,436,1156,348,170,83,511,519,1997
243,Stanford NCAA,30,22,8,.733,19.89,9.21,12,6,12,0,6,6,2427,2071,1215,822,1835,.448,222,570,.389,561,752,.746,439,1206,534,208,117,418,590,1997
244,Stephen F. Austin,27,12,15,.444,-14.00,-8.12,8,8,8,3,3,9,2048,2099,,706,1661,.425,164,502,.327,472,728,.648,406,1087,460,313,69,553,559,1997
245,Stetson,27,9,18,.333,-15.06,-9.02,5,11,7,7,2,10,1680,1801,1085,545,1275,.427,127,354,.359,463,646,.717,294,894,321,147,56,435,518,1997
246,Syracuse,32,19,13,.594,12.87,6.96,9,9,9,7,7,4,2397,2208,1295,878,2017,.435,233,639,.365,408,636,.642,456,1258,516,318,148,486,609,1997
247,TCU,35,22,13,.629,10.36,4.02,7,9,14,3,2,7,2931,2709,1400,1074,2445,.439,236,674,.350,547,750,.729,581,1462,556,287,159,476,663,1997
248,Temple NCAA,31,20,11,.645,14.67,9.02,10,6,9,3,6,6,2055,1880,1275,713,1790,.398,180,619,.291,449,678,.662,491,1211,348,251,117,326,420,1997
249,Tennessee,27,11,16,.407,1.98,6.35,4,12,11,5,0,10,1545,1663,,517,1316,.393,97,308,.315,414,597,.693,335,989,294,169,115,503,535,1997
250,Tennessee State,27,9,18,.333,-11.57,-6.01,7,11,6,3,2,14,1986,2136,,729,1769,.412,211,625,.338,317,503,.630,346,988,372,243,103,402,528,1997
251,Tennessee Tech,28,15,13,.536,-8.28,-7.86,10,8,9,4,6,6,2121,2039,,796,1671,.476,171,455,.376,358,564,.635,372,1158,414,198,171,480,495,1997
252,Tennessee-Martin,27,11,16,.407,-10.62,-7.06,8,10,8,5,2,11,1842,1910,,684,1497,.457,138,412,.335,336,488,.689,295,917,451,269,62,513,477,1997
253,Texas NCAA,30,18,12,.600,12.34,9.47,10,6,12,1,4,9,2290,2204,,781,1891,.413,222,690,.322,506,741,.683,455,1165,384,280,132,462,686,1997
254,Texas A&M,27,9,18,.333,2.43,5.65,3,13,7,6,2,9,1754,1841,1095,647,1528,.423,123,364,.338,337,545,.618,356,1004,407,233,83,471,600,1997
255,Texas Southern,28,12,16,.429,-15.22,-9.99,6,8,8,2,1,13,2014,2130,,703,1752,.401,174,617,.282,434,647,.671,431,1081,350,190,51,415,584,1997
256,Texas State NCAA,29,16,13,.552,-7.54,-7.72,10,6,11,0,2,9,2045,2014,,698,1579,.442,162,447,.362,487,690,.706,356,1098,331,186,64,478,627,1997
257,Texas Tech,28,19,9,.679,12.51,6.73,10,6,9,3,7,4,2243,2081,1130,779,1646,.473,201,495,.406,484,683,.709,371,1119,453,161,97,450,491,1997
