,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22
School,Conf,Pre,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/5,3/11,Post
Alabama,SEC,25,,,,,,,,,,,,,,,,,,
Arizona,Pac-12,5,4,,,23,19,18,16,21,17,12,9,13,19,14,22,17,15,
Arizona State,Pac-12,,,21,17,6,4,4,6,11,14,20,23,,22,25,,,,
Arkansas,SEC,,,,,,,,23,,,,,,,,,,,
Auburn,SEC,,,,,,,,,24,20,19,13,9,11,13,15,15,21,23
Baylor,Big 12,24,24,16,22,21,18,17,,,,,,,,,,,,
Cincinnati,AAC,13,13,9,17,,23,22,20,13,11,8,8,6,5,11,10,8,10,12
Clemson,ACC,,,,,,,,25,17,18,17,20,15,12,17,18,20,18,15
Creighton,Big East,,,23,,25,24,23,24,22,,,,,25,,24,,,
Duke,ACC,1,1,1,1,4,3,3,2,6,5,4,5,8,10,5,3,4,6,4
Florida,SEC,7,7,6,5,22,,,,,,22,24,,,,,23,24,
Florida State,ACC,,,,,19,25,25,,,,,,,,,,,,18
Gonzaga,WCC,19,17,14,13,13,15,19,19,14,13,15,12,11,8,6,7,6,8,10
Houston,AAC,,,,,,,,,,,,,,,23,,21,19,22
Kansas,Big 12,3,2,2,2,12,13,11,10,12,10,5,7,10,13,8,6,9,3,3
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,19
Kentucky,SEC,4,8,7,7,5,6,15,14,20,16,,22,24,,,25,,20,17
Louisville,ACC,16,18,17,,,,,,,,,,,,,,,,
Loyola (IL),MVC,,,,,,,,,,,,,,,,,,,7
Miami (FL),ACC,12,11,13,11,8,7,16,17,19,23,24,,25,,,,25,25,
Michigan,Big Ten,,,,,,,,,,24,25,25,20,21,16,13,7,7,2
Michigan State,Big Ten,2,5,3,3,2,2,2,1,4,9,6,4,4,1,1,2,5,5,11
Middle Tennessee,CUSA,,,,,,,,,,,,,,,24,23,,,
Minnesota,Big Ten,15,15,12,15,,,,,,,,,,,,,,,
Nevada,MWC,,,,24,,,,,,,,,23,24,22,21,22,25,20
Northwestern,Big Ten,20,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,14,12,5,8,18,,,,25,,,,,,,,,,
Ohio State,Big Ten,,,,,,,,,,22,13,18,16,9,15,14,16,17,21
Oklahoma,Big 12,,,,,24,17,12,7,9,6,11,15,18,23,,,,,
Purdue,Big Ten,21,16,,21,17,16,13,12,7,3,3,3,3,7,9,8,10,11,9
Rhode Island,A-10,,,,,,,,,,,23,21,19,14,18,16,24,22,
Saint Mary's,WCC,22,21,,,,,,,,,18,14,12,15,20,20,19,23,
Seton Hall,Big East,23,22,24,19,15,22,24,21,15,19,,,,,,,,,
TCU,Big 12,,,,20,14,12,8,15,16,25,,,,,,,,,
Tennessee,SEC,,,,,20,20,20,22,23,21,21,19,14,17,19,17,12,12,16
Texas A&M,SEC,,19,10,9,10,9,6,13,,,,,,,,,,,24
Texas Tech,Big 12,,,22,,,21,21,18,8,8,14,10,7,6,7,12,13,13,6
UCLA,Pac-12,18,23,25,23,,,,,,,,,,,,,,,
UNC,ACC,9,9,11,10,7,4,14,11,18,14,10,17,22,16,10,9,11,9,14
USC,Pac-12,11,10,18,25,,,,,,,,,,,,,,,
Villanova,Big East,6,3,4,4,1,1,1,3,1,1,1,1,1,2,3,5,3,2,1
Virginia,ACC,,25,15,12,16,14,9,8,3,2,2,2,2,3,2,1,1,1,5
West Virginia,Big 12,10,20,19,16,11,10,7,5,2,7,7,11,17,20,21,19,18,14,13
Wichita State,AAC,8,6,8,6,3,11,10,9,5,4,16,16,21,18,12,11,14,16,25
Xavier,Big East,17,14,20,14,9,8,5,4,10,12,9,6,5,4,4,4,2,4,8
