,,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll,Week Poll
,,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23
School,Conf,Pre,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11,3/18,Post
Arizona State,Pac-12,,,,20,20,19,17,,,,,,,,,,,,,
Auburn,SEC,12,9,10,9,8,7,11,13,10,12,15,,,,,,,24,18,5
Buffalo,MAC,,25,20,18,15,15,22,20,20,17,14,17,25,24,24,23,20,16,16,17
Cincinnati,AAC,,,,,,,,,,,,,23,,25,22,19,23,24,
Clemson,ACC,23,16,24,,,,,,,,,,,,,,,,,
Duke,ACC,3,1,3,3,2,2,2,1,2,2,2,2,2,2,1,2,4,5,1,4
Florida State,ACC,15,13,14,11,10,12,9,9,13,11,23,,24,19,17,17,13,13,11,13
Furman,Southern,,,,,,25,,,,,,,,,,,,,,
Gonzaga,WCC,4,3,1,1,6,9,8,8,6,5,4,4,4,3,2,1,1,1,3,6
Houston,AAC,,,,,22,20,19,17,15,17,17,13,12,9,8,6,12,10,9,12
Indiana,Big Ten,,,,,,,25,22,24,25,,,,,,,,,,
Iowa,Big Ten,,22,15,19,21,21,21,20,25,24,21,25,20,17,19,21,,,,
Iowa State,Big 12,,,,,,,,,21,,25,20,16,22,20,,25,,23,25
Kansas,Big 12,1,2,2,2,1,1,5,6,9,8,10,12,14,14,12,16,14,18,17,16
Kansas State,Big 12,11,12,10,15,24,,,,,,,,,18,21,15,17,14,14,19
Kentucky,SEC,2,10,9,8,18,18,15,14,18,14,9,6,5,5,4,4,6,4,7,7
LSU,SEC,,21,,,,,,,,,,19,22,21,15,14,10,9,12,15
Louisville,ACC,,,,,,,,,,,24,16,17,20,22,24,,,,
Marquette,Big East,,,,,,23,20,18,19,13,11,9,9,10,10,9,15,22,25,
Maryland,Big Ten,,,,23,23,24,,,,22,16,24,,25,25,20,24,21,,22
Michigan,Big Ten,18,8,5,5,5,5,4,4,4,4,6,5,7,7,7,10,7,11,8,11
Michigan State,Big Ten,10,11,8,10,9,8,7,7,5,6,5,8,11,12,11,8,11,7,6,3
Mississippi State,SEC,19,15,25,22,17,16,17,16,14,23,22,21,21,,,,,,,
NC State,ACC,,,,,,,24,19,16,16,19,22,,,,,,,,
Nebraska,Big Ten,25,24,,25,25,22,23,23,,,,,,,,,,,,
Nevada,MWC,9,7,6,6,7,6,6,5,11,10,7,7,6,6,6,13,18,17,20,23
Ohio State,Big Ten,,23,16,17,14,14,11,12,17,,,,,,,,,,,
Oklahoma,Big 12,,,,,,,,25,22,19,,,,,,,,,,
Ole Miss,SEC,,,,,,,,,,20,20,,,,,,,,,
Oregon,Pac-12,16,20,21,,,,,,,,,,,,,,,,,21
Purdue,Big Ten,22,19,18,24,,,,,,,,18,15,11,13,12,9,12,13,8
St. John's (NY),Big East,,,,,,,,,23,,,,,,,,,,,
Syracuse,ACC,14,,,,,,,,,,,,,,,,,,,
TCU,Big 12,21,18,,,,,,,,,,,,,,,,,,
Tennessee,SEC,6,5,7,7,4,4,3,3,3,3,1,1,1,1,5,7,4,8,5,10
Texas,Big 12,,,17,,,,,,,,,,,,,,,,,
Texas Tech,Big 12,,,19,13,10,11,13,11,8,9,13,15,18,15,14,11,8,6,10,2
UCF,AAC,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,20,17,,,,,,,,,,,,,,,,,,
UNC,ACC,7,6,13,12,12,10,14,15,12,15,12,10,8,8,9,5,3,3,4,9
Utah State,MWC,,,,,,,,,,,,,,,,,,,25,
Villanova,Big East,8,,23,21,16,,,,,21,18,14,13,13,16,,23,25,22,20
Virginia,ACC,5,4,4,4,3,3,1,2,1,1,3,3,3,4,3,2,2,2,2,1
Virginia Tech,ACC,17,14,12,14,13,13,10,10,7,7,8,11,10,16,18,19,16,15,15,14
Washington,Pac-12,24,,,,,,,,,,,,,,,25,,,,
West Virginia,Big 12,13,,,,,,,,,,,,,,,,,,,
Wisconsin,Big Ten,,,22,16,19,17,16,23,,,,23,19,23,23,18,21,19,21,24
Wofford,Southern,,,,,,,,,,,,,,,,25,22,20,19,18
